state,custody,monthly_order
Oregon,primary,1772
Kentucky,primary,1871.67
Oklahoma,primary,2008.78
Tennessee,primary,2031
Minnesota,primary,2271.3
Arizona,primary,2290.06
Utah,primary,2332.66
Arkansas,primary,2349.64
Nebraska,primary,2402.03
Nevada,primary,2485
Florida,primary,2512.99
West Virginia,primary,2518.77
Indiana,primary,2548.03
Idaho,primary,2549.85
Ohio,primary,2564.15
Mississippi,primary,2564.76
Vermont,primary,2594.42
South Dakota,primary,2623.12
South Carolina,primary,2669.21
Virginia,primary,2672.09
Alabama,primary,2736
New Mexico,primary,2795.32
Wyoming,primary,2801.97
Michigan,primary,2808.44
Washington,primary,2819.56
Maine,primary,2899.02
North Carolina,primary,2934.3
New Jersey,primary,3002.31
Illinois,primary,3037.9
Montana,primary,3073.5
Pennsylvania,primary,3086.76
Colorado,primary,3090.3
Rhode Island,primary,3123.22
Connecticut,primary,3138.2
Missouri,primary,3139
North Dakota,primary,3219
Louisiana,primary,3269.06
Maryland,primary,3295.11
California,primary,3436.04
Alaska,primary,3462.96
District of Columbia,primary,3467.96
Texas,primary,3510
Iowa,primary,3744.73
Kansas,primary,3838.03
New Hampshire,primary,3838.66
Delaware,primary,3990.73
New York,primary,4067.61
Massachusetts,equal,4388.48
Wisconsin,primary,4491.71
Hawaii,primary,5821
Massachusetts,primary (reference),4714.22
