state,s1,s2
Alaska,2367.95,3462.96
Arkansas,2118.68,2349.64
Connecticut,3138.2,3138.2
Delaware,2281.35,3990.73
District of Columbia,2253.73,3467.96
Florida,1735.21,2512.99
Idaho,1794.22,2549.85
Indiana,2283.25,2548.03
Kentucky,1087.8,1871.67
Louisiana,2227.23,3269.06
Maine,2899.02,2899.02
Maryland,2309.54,3295.11
Massachusetts,4388.48,4714.22
Michigan,1445.25,2808.44
Minnesota,1174.71,2271.3
Mississippi,2097.44,2564.76
Missouri,3139,3139
Nevada,1842.8,2485
New Jersey,3002.31,3002.31
New Mexico,1823.64,2795.32
North Dakota,2939,3219
Oregon,1072,1772
Pennsylvania,2378.42,3086.76
Rhode Island,2684.45,3123.22
South Carolina,1832.22,2669.21
Tennessee,1833,2031
Texas,3510,3510
Vermont,1686.42,2594.42
Virginia,1872.18,2672.09
Washington,2819.56,2819.56
California,2424.32,3436.04
Montana,1461,3073.5
Nebraska,1475.23,2402.03
New York,4067.61,4067.61
Wisconsin,3117.35,4491.71
New Hampshire,3838.66,3838.66
North Carolina,1883.12,2934.3
Alabama,1746,2736
Arizona,1309.36,2290.06
Illinois,1881.45,3037.9
Kansas,2296.63,3838.03
Ohio,2564.15,2564.15
Utah,1058.31,2332.66
West Virginia,1724.21,2518.77
Wyoming,1900.85,2801.97
Oklahoma,1284.42,2008.78
Colorado,2652.32,3090.3
Hawaii,2774,5821
South Dakota,1788.96,2623.12
Iowa,2630.25,3744.73
