state,price_level_2024,monthly_order_equal_time,monthly_order_primary_custody
California,110.72,2424.32,3436.04
Hawaii,109.951,2774,5821
District of Columbia,109.901,2253.73,3467.96
New Jersey,108.805,3002.31,3002.31
New York,107.921,4067.61,4067.61
Washington,107.013,2819.56,2819.56
Massachusetts,105.757,4388.48,4714.22
Maryland,104.959,2309.54,3295.11
New Hampshire,104.165,3838.66,3838.66
Connecticut,103.61,3138.2,3138.2
Florida,103.414,1735.21,2512.99
Oregon,103.361,1072,1772
Colorado,103.052,2652.32,3090.3
Alaska,102.359,2367.95,3462.96
Rhode Island,102.28,2684.45,3123.22
Virginia,101.104,1872.18,2672.09
Arizona,100.677,1309.36,2290.06
Nevada,99.979,1842.8,2485
Illinois,99.958,1881.45,3037.9
Delaware,99.808,2281.35,3990.73
Utah,98.864,1058.31,2332.66
Minnesota,98.621,1174.71,2271.3
Vermont,97.958,1686.42,2594.42
Pennsylvania,97.572,2378.42,3086.76
Texas,97.057,3510,3510
Maine,97.05,2899.02,2899.02
Michigan,96.217,1445.25,2808.44
Idaho,95.494,1794.22,2549.85
Montana,94.645,1461,3073.5
North Carolina,94.326,1883.12,2934.3
Wisconsin,94.095,3117.35,4491.71
South Carolina,93.749,1832.22,2669.21
Indiana,93.329,2283.25,2548.03
Ohio,92.774,2564.15,2564.15
Wyoming,92.691,1900.85,2801.97
New Mexico,92.212,1823.64,2795.32
Tennessee,91.87,1833,2031
Missouri,90.817,3139,3139
Kentucky,90.159,1087.8,1871.67
Nebraska,90.103,1475.23,2402.03
Kansas,90.068,2296.63,3838.03
West Virginia,89.497,1724.21,2518.77
North Dakota,88.959,2939,3219
Alabama,88.823,1746,2736
South Dakota,88.586,1788.96,2623.12
Louisiana,88.207,2227.23,3269.06
Oklahoma,87.843,1284.42,2008.78
Iowa,87.762,2630.25,3744.73
Mississippi,86.953,2097.44,2564.76
Arkansas,86.937,2118.68,2349.64
