state,category,annual_ceiling,basis,confidence,brattle_fig34
Alabama,combined-ceiling,360000,gross,high,
Alaska,obligor-cap,138000,net,high,
Arizona,combined-ceiling,360000,gross,high,
Arkansas,combined-ceiling,360000,gross,medium,
California,no-ceiling,,net,high,
Colorado,combined-ceiling,480000,gross,high,
Connecticut,combined-ceiling,312000,net,high,144000
Delaware,no-ceiling,,net,high,
District of Columbia,combined-ceiling,240000,gross,medium,240000
Florida,combined-ceiling,120000,net,high,
Georgia,combined-ceiling,480000,gross,medium,
Hawaii,no-ceiling,,net,high,
Idaho,combined-ceiling,440000,gross,high,
Illinois,combined-ceiling,328499.88,net,medium,
Indiana,combined-ceiling,478400,gross,medium,
Iowa,combined-ceiling,360000,net,high,
Kansas,combined-ceiling,216000,gross,high,
Kentucky,combined-ceiling,360000,gross,high,
Louisiana,combined-ceiling,600000,gross,high,
Maine,combined-ceiling,400000,gross,high,
Maryland,combined-ceiling,360000,gross,high,
Massachusetts,combined-ceiling,450000,gross,high,450000
Michigan,combined-ceiling,214459,net,high,
Minnesota,combined-ceiling,240000,gross,high,
Mississippi,obligor-cap,100000,gross,medium,
Missouri,combined-ceiling,480000,gross,high,
Montana,no-ceiling,,net,high,
Nebraska,combined-ceiling,240000,net,high,
Nevada,obligor-cap,72000,gross,medium,
New Hampshire,combined-ceiling,373068,gross,medium,187200
New Jersey,combined-ceiling,187200,net,high,208000
New Mexico,combined-ceiling,480000,gross,high,
New York,combined-ceiling,193000,gross,medium,183000
North Carolina,combined-ceiling,480000,gross,high,
North Dakota,obligor-cap,300000,net,high,
Ohio,combined-ceiling,336000,gross,high,
Oklahoma,combined-ceiling,180000,gross,high,
Oregon,combined-ceiling,360000,gross,high,
Pennsylvania,combined-ceiling,360000,net,high,
Rhode Island,combined-ceiling,480000,gross,medium,373068
South Carolina,combined-ceiling,480000,gross,high,
South Dakota,combined-ceiling,360000,net,medium,
Tennessee,combined-ceiling,339000,gross,high,
Texas,obligor-cap,140400,net,high,
Utah,combined-ceiling,1200000,gross,high,
Vermont,combined-ceiling,360300,other,high,360300
Virginia,combined-ceiling,510000,gross,high,
Washington,combined-ceiling,600000,net,high,480000
West Virginia,combined-ceiling,420000,gross,high,
Wisconsin,no-ceiling,,gross,high,
Wyoming,combined-ceiling,180000,net,medium,
